tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
20250104-Brisbane_I,Brisbane International,Hard,,,20250104,28,,,,Jiri Lehecka,,,,,,,,Grigor Dimitrov,,,,,6-4 4-4,3,SF,,,,,,,,,,,,,,,,,,,,28,,10.0,
20250104-Brisbane_I,Brisbane International,Hard,,,20250104,29,,,,Reilly Opelka,,,,,,,,Giovanni Mpetshi Perricard,,,,,6-3 7-6,3,SF,,,,,,,,,,,,,,,,,,,,293,,31.0,
20250105-Brisbane_I,Brisbane International,Hard,,,20250105,30,,,,Jiri Lehecka,,,,,,,,Reilly Opelka,,,,,4-1,3,F,,,,,,,,,,,,,,,,,,,,28,,293.0,
20241230-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20241230,31,,,,Miomir Kecmanovic,,,,,,,,Luciano Darderi,,,,,6-3 6-3,3,R128,,,,,,,,,,,,,,,,,,,,54,,44.0,
20241230-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20241230,32,,,,Fabian Marozsan,,,,,,,,Roman Safiullin,,,,,6-1 7-6,3,R128,,,,,,,,,,,,,,,,,,,,58,,60.0,
20241230-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20241230,33,,,,Lorenzo Sonego,,,,,,,,Brandon Nakashima,,,,,7-6 6-3,3,R128,,,,,,,,,,,,,,,,,,,,53,,38.0,
20241230-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20241230,34,,,,Cameron Norrie,,,,,,,,Learner Tien,,,,,6-3 7-5,3,R128,,,,,,,,,,,,,,,,,,,,49,,122.0,
20241231-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20241231,35,,,,Zizou Bergs,,,,,,,,Alejandro Moro Canas,,,,,6-4 6-4,3,R128,,,,,,,,,,,,,,,,,,,,71,,169.0,
20241231-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20241231,36,,,,Alexandre Muller,,,,,,,,Marc Andrea Huesler,,,,,2-6 6-4 6-3,3,R128,,,,,,,,,,,,,,,,,,,,67,,159.0,
20241231-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20241231,37,,,,Jaume Munar,,,,,,,,Alejandro Davidovich Fokina,,,,,4-6 6-3 6-3,3,R128,,,,,,,,,,,,,,,,,,,,62,,61.0,
